Meaning,Filename
I don’t want to eat / I won't eat / I am not eating / I don't feel like eating,NO-EAT.webm
This is bad quality / Poor quality / Not good / Low-quality item,NO-QUALITY.webm
Not finished / Not done / Work is incomplete / Still pending,NOT-FINISH.webm
I am not ready / I'm not ready / I'm still not prepared / I’m not ready yet,NOT-READY.webm
My phone is dead / My phone has no battery / Phone switched off / Battery finished,PHONE-DEAD.webm
I need police / Call the police / Police required / Inform the police,POLICE.webm
Message me when you reach / Inform me once you arrive / Tell me when you reach / Contact me after arrival,REACH-MESSAGE.webm
Please remember / Try to remember / Kindly remember this / Don’t forget,REMEMBER-PLEASE.webm
Please repeat / Repeat again / Say it again / Repeat that,REPEAT-PLEASE.webm
I need rest / I want to rest / I should rest / I need to relax,REST-NEED.webm
Send the document / Send the file / Share the document / Upload the file,SEND-DOCUMENT.webm
Drive slowly / Please slow down / Reduce speed / Go slow,SLOW-DRIVE.webm
Speak slowly / Talk slowly / Slow down your speech / Speak gently,SLOW-SPEAK.webm
Sorry / I am sorry / My apology / Forgive me,SORRY.webm
I have stomach pain / My stomach hurts / I have a stomachache / Pain in my stomach,STOMACH-PAIN.webm
Taxi is coming / Taxi is on the way / Cab is coming / Taxi will arrive soon,TAXI-COME.webm
Teach me / Please teach me / Help me learn / Show me how to do it,TEACH-ME.webm
Thank you / Thanks a lot / Thank you very much / I appreciate it,THANK-YOU.webm
This / This one / That one here / This item,THIS.webm
What is the time? / What's the time? / What time is it?,TIME-WHAT.webm
What is the plan for today? / What’s today’s plan? / What are we doing today?,TODAY-WHAT-PLAN.webm
Where is the toilet? / Where is the bathroom? / Where is the restroom? / Which way is the toilet?,TOILET-WHERE.webm
Where is the train? / Where is the train station? / Which direction is the train?,TRAIN-WHERE.webm
Turn left / Take a left / Go left side / Move toward the left,TURN-LEFT.webm
Turn right / Take a right / Go right side / Move toward the right,TURN-RIGHT.webm
Wait a little / Wait for a moment / Please wait a bit / Just a minute,WAIT-LITTLE.webm
Water / I need water / Give me water / Water please,WATER.webm
Write please / Please write it down / Write it for me / Show by writing,WRITE-PLEASE.webm
You help me / Can you help? / Help me please / Assist me,YOU-HELP.webm
Why are you late? / Why were you late? / What made you late?,YOU-LATE-WHY.webm
Are you learning? / Are you studying? / Are you trying to learn?,YOU-LEARN.webm
