अधिकार,किसी चीज़ पर हक।,काबू,नियंत्रण
उत्तर,किसी प्रश्न का जवाब।,जवाब,सप्लाई
प्रेरणा,उत्साह देने वाली शक्ति।,उत्साह,प्रोत्साहन
कृपा,दया या मेहरबानी।,दया,बख़्शिश
दृष्टांत,स्पष्ट उदाहरण।,उदाहरण,आदर्श
संघर्ष,कठिनाई से लड़ना।,युद्ध,जद्दोजहद
भावना,मन की स्थिति।,फीलिंग,संवेदना
संबंध,रिश्ता।,रिश्ता,जुड़ाव
प्रवृत्ति,किसी दिशा का झुकाव।,झुकाव,झुकान
विचारधारा,सोचने का तरीका।,फिलॉसॉफी,मूल्य
एकता,संयुक्त होना।,यूनिटी,संगठन
परिश्रम,कड़ी मेहनत।,मेहनत,कठोर परिश्रम
अहिंसा,किसी को न सताना।,निरहिंसा,दयालुता
आशा,उम्मीद।,उम्मीद,प्रतीक्षा
विज्ञान,ज्ञान का क्षेत्र।,साइंस,अनुसंधान
धर्म,आस्था या विश्वास।,आस्था,मत
महत्व,किसी चीज़ का मूल्य।,कीमत,पद
निर्णय,किसी बात का निष्कर्ष।,समाधान,फैसला
उपाय,समस्या का हल।,समाधान,सुझाव
खोज,किसी चीज़ की तलाश करना।,तलाश,अन्वेषण
सृजन,कुछ नया बनाना।,निर्माण,रचना
अनुशासन,स्वयं पर नियंत्रण।,डिसिप्लिन,व्यवस्था
नई,कुछ जो पहले न था।,नवीन,ताज़ा
जागरूकता,जानकारी और सतर्कता।,सावधानी,होश
समर्पण,पूर्णतः समर्पित होना।,अर्पण,परित्याग
साकार,साफ रूप में प्रस्तुत।,अनुभव,प्रस्तुति
साधन,कार्य की पूर्ति के उपकरण।,माध्यम,उपकरण
कर्म,कार्य।,ऐक्शन,कार्य
परिशिष्ट,अतिरिक्त जानकारी।,अनुबंध,परिशुद्ध
मूल्य,किसी चीज़ की कीमत।,मूल,दाम
शिखर,सबसे ऊँचा स्थान।,ऊंचाई, चोटी
सम्मेलन,लोगों की सभा।,मीटिंग,सभा
संस्कृति,विशेष जीवनशैली।,संस्कार,परंपरा
समृद्धि,सम्पन्नता।,पुष्टि,लाभ
आकर्षण,खींचने की शक्ति।,मोह,रेचना
मूल,असली स्रोत।,जड़,सूत्र
श्रम,कड़ी मेहनत।,मेहनत,परिश्रम
दृढ़ता,मत के प्रति स्थिरता।,संकल्प,दृढ़ संकल्प
अनुरोध,प्रार्थना।,प्रार्थना,निवेदन
शब्दावली,शब्दों का समूह।,शब्दकोश,संवाद
परिवर्तन,कुछ नया होना।,बदलाव,परिवर्तनशीलता
समृद्धि,धन की प्रचुरता।,व्यवस्थित,पुष्टि
आर्थिक,वित्त से जुड़ा।,वित्तीय,मौद्रिक
अभ्यास,लगातार किया गया कार्य।,प्रैक्टिस,अभ्यासक्रम
दायित्व,जिम्मेदारी।,कर्तव्य,जिम्मेदारी
संगठन,बहुत लोगों का समूह।,संस्था,यूनियन
यातायात,आवागमन।,ट्रैफिक,परिवहन
सूचना,सूचित करने की क्रिया।,न्यूज़,समाचार
रुचि,किसी की पसंद।,इंटरेस्ट,झुकाव
अधिकतम,सबसे ज्यादा।,उच्चतम,अत्यधिक
मूल्यांकन,किसी वस्तु का मूल्य निर्धारित करना।,आकलन,मूल्यसत्ता
प्रेरित,प्रेरणा देना।,प्रोत्साहित,प्रेरणादायक
अनुवाद,एक भाषा से दूसरी भाषा में बदलना।,ट्रांसलेशन,परिवर्तन
प्रमाण,सबूत।,एविडेंस,साक्ष्य
अनुमति,मंजूरी।,पर्मिशन,स्वीकृति
साक्षात्कार,सामना या इंटरव्यू।,इंटरव्यू,भेंट
एकत्र,संग्रहित करना।,संग्रह,संकलन
छात्र,पढ़ने वाला।,विद्यार्थी,डिसिपल
सभ्यता,समाज की उन्नत स्थिति।,कल्चर,संस्कृति
अंतर,दो चीज़ों के बीच अंतर।,फर्क,फासला
मान्यता,विश्वास या समझ।,कन्सेप्ट,प्रमाण
संशोधन,बदलाव या सुधार।,रिफॉर्म,सुधार
संकट,मुश्किल।,आपदा,समस्या
श्रद्धा,आस्था।,भक्ति,सम्मान
प्रदेश,क्षेत्र।,इलाका,अंचल
न्यायालय,न्याय का स्थान।,कोर्ट,महान्यायालय
प्रस्ताव,पेशकश।,ऑफर,सुझाव
त्रुटि,गलती।,भूल,दोष
परिप्रेक्ष्य,दृष्टिकोण।,व्यू,परिपेक्ष्य
अधिनियम,कानून।,लॉ,नियम
समर्पित,पूरा समर्पित।,समर्पणशील,अर्पित
आत्मनिर्भर,स्वयं पर निर्भर।,स्वावलंबी,इंडीपेंडेंट
संयुक्त,जुड़ा हुआ।,परस्पर,संगठित
सारांश,संक्षिप्त विवरण।,सार,संक्षेप
सम्प्रेषण,संदेश पहुँचाना।,प्रेषण,संचार  
शब्दकोश,शब्दों की सूची।,शब्दावली,डिक्शनरी  
स्वप्न,नींद में देखी गई बातें।,सपना,अभिलाषा  
अवकाश,आराम का समय।,छुट्टी,विश्राम  
संग्रह,जमा करना।,संचयन,एकत्र  
ज्ञानवर्धन,ज्ञान में वृद्धि।,साक्षरता,ज्ञान  
सर्वोच्च,सबसे ऊँचा।,श्रेष्ठ,मुख्य  
संपूर्ण,पूरा।,पूर्ण,समग्र  
अलंकरण,सजावट।,सज्जा,संस्कार  
सादगी,सीधापन।,सरलता,स्पष्टता  
अनेकता,बहुलता।,भिन्नता,बहुत  
सुखद,आनंद देने वाला।,मनमोहक,प्रसन्न  
संतुलन,सम अवस्था।,तुला,तराजू  
आनंदित,बहुत ख़ुश।,प्रसन्न,संतुष्ट  
आपत्ति,कठिन अवस्था।,आपदा,संकट  
अनुराग,प्रेम।,मोहब्बत,स्नेह  
व्याकरण,भाषा के नियम।,नियम,संरचना  
संभावना,होने की आशंका।,संभावना,संभाव्य  
अनिश्चितता,स्पष्टता का अभाव।,अस्थिरता,संशय  
सुगमता,आसानी।,सरलता,सुविधा  
विषय,जिस पर चर्चा हो।,मुद्दा,वस्तु  
व्यवस्था,संपूर्ण संचालन।,प्रबंध,संयोजन  
अभिप्रेत,इच्छित।,चाहा हुआ,मनचाहा  
असंभव,जो हो न सके।,अवास्तविक,अकल्पनीय  
उत्तरदायित्व,जवाबदेही।,दायित्व,फर्ज  
समर्पण,पूर्णता में अर्पण।,अर्पण,निष्ठा  
संभाषण,बातचीत।,संवाद,वार्तालाप  
कुशल,निपुण।,निपुण,पारंगत  
मुख्य,सबसे महत्वपूर्ण।,प्रधान,प्रमुख  
परिदृश्य,दृश्य।,दृश्य,दृश्यमान  
प्रतिभा,विशेष योग्यता।,कला,कौशल  
अनुकूल,सहायक।,सहयोगी,मूल्यवान  
विरासत,परंपरागत संपत्ति।,धरोहर,परंपरा  
सहनशीलता,सब्र।,धैर्य,समझ  
साक्ष्य,प्रमाण।,सबूत,अधिकार  
असंगति,मेल नहीं खाना।,भिन्नता,मतभेद  
आवश्यकता,जरूरत।,मांग,प्रीति  
परिवेश,वातावरण।,माहौल,स्थित  
संपदा,धन।,संपत्ति,धन  
अभिप्रेरणा,प्रेरणा।,प्रोत्साहन,उत्साह  
सुसंगति,मेल खाना।,मेल,सहयोग  
अंश,भाग।,हिस्सा,भाग  
दूरदर्शिता,भविष्य की सोच।,दृष्टि,विचार  
विशेष,अलग।,अनूठा,अद्वितीय  
गंभीर,गंभीरता।,संजीदा,महत्वपूर्ण  
मनोरंजन,आनंद।,आनंद,विनोद  
कान्ति,चमक।,तेज,रोशनी  
परिशुद्धता,शुद्धता।,शुद्धि,स्वच्छता  
अभिनव,नया।,नवीन,आधुनिक  
गौरव,मुकुट।,सामान,सम्मान  
संधान,अन्वेषण।,खोज,अन्वेषण  
उत्पादन,सृजन।,निर्माण,उत्पत्ति  
अनुवर्तन,पालन।,अनुसरण,अनुपालन  
निर्णायक,निर्णय लेने वाला।,विचारक,निर्णयकारी  
सुलभ,आसानी से उपलब्ध।,मिलना,सरल  
भान,जानकारी।,समझ,ज्ञान  
सजग,होशियार।,चेतन,जागरूक  
निष्ठा,ईमान।,विश्वास,आस्था  
विराम,रुकना।,ठहराव,ठहरना  
व्यवसाय,पेशा।,काम,धंधा  
संकेत,संकेतक।,संकेत,निशान  
संपर्क,जुड़ना।,रिश्ता,मेल  
अर्पण,प्रस्तुत करना।,समर्पण,निवेदन  
उद्देश्य,लक्ष्य।,टार्गेट,कामना  
मुख्यता,प्रमुखता।,महत्व,रणनीति  
सभा,गोष्ठी।,समागम,समीत  
व्यक्तित्व,स्वभाव।,चरित्र,स्वरुप  
सुविधा,आसानी।,सुगमता,उपयुक्त  
संचालन,निगरानी।,प्रबंध,संचालक  
परिस्थिति,हालात।,स्थिति,दशा  
सम्हाल,देखभाल।,संरक्षण,रक्षा  
श्रमिक,कामगार।,मजदूर,काम करने वाला  
अवधारणा,विचार।,बिचार,धारणा  
रचनात्मक,सृजनशील।,क्रिएटिव,निर्माण  
विनम्रता,नरमी।,सुरता,शिष्टता  
नवाचार,नया विचार।,आधुनिक,उपलब्ध  
शरीर,तन।,देह,काया  
प्रगति,आगे बढ़ना।,विकास,अग्रेसर  
साक्षात्कार,मुलाकात।,भेंट,इंटरव्यू  
अनुवांशिकता,वंशानुगतता।,आनुवंशिक,वंश  
अभिव्यक्ति,अपने विचार व्यक्त करना।,व्यक्ति,प्रकट  
समाजशास्त्र,समाज का अध्ययन।,समाज विज्ञान,जनविज्ञान  
राजनीति,शासन का तरीका।,पॉलिटिक्स,शासन  
विश्वविद्यालय,शिक्षा का उच्च स्थान।,कॉलेज,जगह  
शासन,प्रशासन।,संचालन,व्यवस्था  
मूल्य वृद्धि,कीमत में बढ़ोत्तरी।,महंगाई,मूल्य बढ़ना  
शाश्वत,हमेशा रहने वाला।,स्थायी,चिरस्थायी  
पथ,मार्ग।,रास्ता,रूट  
दृष्टिकोण,देखने का तरीका।,नजरिया,विचार  
क्षमता,योग्यता।,स्किल,कुशलता  
अर्थव्यवस्था,धन की व्यवस्था।,इकोनॉमी,आर्थिक  
प्रतिस्पर्धा,मुकाबला।,कम्पटीशन,मुक़ाबला  
आविष्कार,कोई नई खोज।,डिस्कवरी,नई चीज़  
अधिकार,हक।,स्वत्व,मालिकाना हक  
महत्वाकांक्षा,बड़ी चाह।,लक्ष्य,इच्छा  
विभाजन,अलग करना।,विभाजित,खंडन  
सामर्थ्य,बल।,शक्ति,क्षमता  
आकांक्षा,आशा।,इच्छा,कल्पना  
अभिज्ञान,पहचान।,शिनाख्त,पहचानना  
प्रशासन,शासन।,विषय,प्रबंध  
आवाज,ध्वनि।,स्वर,शब्द  
संज्ञा,नाम।,नाम,शब्द  
विश्लेषण,जांच।,एनालिसिस,परिक्षण  
परिचय,जानकारी।,इंट्रो,पहचान  
अवधि,समय।,काल,क्षण  
समक्ष,सामने।,सामना,समक्ष  
संयोजन,जोड़ना।,मिश्रण,एकीकरण  
संक्षेप,संक्षिप्त।,फॉर्म,संक्षिप्त
